Date,Price,Open,High,Low,Vol.,Change %
29-Jan-16,152.73,149.4,153,145.25,7.17M,2.95%
28-Jan-16,148.35,151.1,151.71,145.42,4.25M,-1.41%
27-Jan-16,150.47,154.89,154.89,148.87,3.75M,-2.15%
26-Jan-16,153.78,152.78,155.23,151.09,3.65M,0.23%
25-Jan-16,153.43,156.18,158,153,4.77M,-1.70%
22-Jan-16,156.08,156.45,156.96,154.24,4.58M,2.16%
21-Jan-16,152.78,154.75,155.02,150.24,4.67M,-1.44%
20-Jan-16,155.02,149,156.84,148.05,7.34M,2.46%
19-Jan-16,151.3,153.45,154.62,148.23,4.38M,0.00%
15-Jan-16,151.3,147.69,152.3,147.69,6.21M,-1.21%
14-Jan-16,153.16,146.02,155.3,144.57,5.65M,5.29%
13-Jan-16,145.46,151.14,152.83,145.28,3.98M,-3.53%
12-Jan-16,150.79,148.43,151.24,146.92,4.41M,2.10%
11-Jan-16,147.69,151.33,151.59,144.17,4.75M,-2.00%
8-Jan-16,150.71,153.12,154.86,150.46,4.18M,-1.48%
7-Jan-16,152.98,153.06,156.45,152.89,4.16M,-2.39%
6-Jan-16,156.72,155.01,157.93,154.9,3.83M,-0.92%
5-Jan-16,158.17,159,160.21,157.25,2.68M,-0.11%
4-Jan-16,158.34,159,159.22,156.09,5.08M,-2.46%
31-Dec-15,162.33,162.15,164.11,162.05,1.78M,-0.59%
30-Dec-15,163.29,164.63,164.75,162.91,1.49M,-0.70%
29-Dec-15,164.44,162.92,164.96,162.05,2.17M,1.68%
28-Dec-15,161.73,162.91,163.12,160.6,1.51M,-1.11%
24-Dec-15,163.55,163.7,164.36,162.22,943.08K,0.51%
23-Dec-15,162.72,163.03,163.5,161.65,2.20M,0.26%
22-Dec-15,162.3,160.5,163.37,160.04,3.13M,1.90%
21-Dec-15,159.28,159.88,160.38,157.38,3.82M,0.30%
18-Dec-15,158.8,160.5,161.82,158.62,6.23M,-1.63%
17-Dec-15,161.43,164.58,164.99,159.81,3.70M,-1.91%
16-Dec-15,164.58,164.31,165.23,162.1,3.92M,1.21%
15-Dec-15,162.62,161.65,164.45,161.56,5.37M,2.85%
14-Dec-15,158.11,155.98,158.34,153.43,2.80M,1.91%
11-Dec-15,155.15,157.82,158.78,154.79,3.01M,-2.83%
10-Dec-15,159.67,158.97,160.85,157,2.81M,1.13%
9-Dec-15,157.89,158.35,159.81,156.12,3.00M,-0.92%
8-Dec-15,159.35,156.61,160.67,156.04,2.25M,0.66%
7-Dec-15,158.3,162.91,162.97,157.54,3.57M,-1.94%
4-Dec-15,161.43,154.96,161.95,154.95,3.92M,4.38%
3-Dec-15,154.65,160.27,160.52,153.71,4.47M,-3.66%
2-Dec-15,160.52,161.62,162.38,160.1,2.87M,-0.90%
1-Dec-15,161.98,162.71,163.43,160.52,2.43M,0.55%
30-Nov-15,161.1,163.49,164,160.36,2.98M,-1.48%
27-Nov-15,163.52,164.76,165,163.14,1.05M,-0.26%
25-Nov-15,163.95,163.05,164.59,162.71,2.13M,0.72%
24-Nov-15,162.78,161.01,163.34,161,3.69M,0.19%
23-Nov-15,162.47,159.63,163.13,159.63,4.17M,1.60%
20-Nov-15,159.91,160.74,161.34,159.55,2.73M,0.26%
19-Nov-15,159.49,159.89,161.52,158.83,2.04M,-0.89%
18-Nov-15,160.92,158.11,161.12,156.35,2.98M,2.11%
17-Nov-15,157.6,154.91,159.13,153.7,3.64M,2.01%
16-Nov-15,154.5,152.02,154.78,151.1,2.44M,1.95%
13-Nov-15,151.55,150.68,153.52,148,3.86M,0.38%
12-Nov-15,150.98,155.94,157.7,150.82,4.77M,-3.75%
11-Nov-15,156.86,159.26,159.57,156.76,1.92M,-0.95%
10-Nov-15,158.37,160.25,161.16,158.05,2.87M,-0.79%
9-Nov-15,159.63,159.75,160.61,158.32,2.72M,-0.52%
6-Nov-15,160.46,160.87,160.87,156.84,3.34M,-0.47%
5-Nov-15,161.22,162.2,162.48,158.82,2.20M,-0.41%
4-Nov-15,161.88,162.85,163.99,160.77,3.06M,-0.36%
3-Nov-15,162.46,160.97,163.15,160.5,2.41M,0.09%
2-Nov-15,162.31,159.01,162.75,158.37,3.22M,2.61%
30-Oct-15,158.18,161.06,162,158.13,4.59M,-1.49%
29-Oct-15,160.58,164.99,165,158.94,4.87M,-1.28%
28-Oct-15,162.67,162.72,162.87,158.73,4.88M,0.43%
27-Oct-15,161.98,158.58,162.12,157.83,3.88M,2.14%
26-Oct-15,158.58,156,159.91,154.65,4.35M,1.82%
23-Oct-15,155.75,153.61,156.2,151.86,3.66M,2.26%
22-Oct-15,152.31,152.1,152.94,148.57,4.08M,1.48%
21-Oct-15,150.09,152.37,152.75,147.3,3.84M,-0.24%
20-Oct-15,150.45,154.19,155,149.47,3.39M,-2.60%
19-Oct-15,154.47,152.61,156.14,152.46,3.27M,1.22%
16-Oct-15,152.61,153.19,154.12,150.58,4.79M,0.05%
15-Oct-15,152.54,147.45,152.78,146.97,3.27M,3.20%
14-Oct-15,147.81,148.38,150.93,147.13,3.20M,0.16%
13-Oct-15,147.58,151.54,152.98,147.44,4.14M,-3.56%
12-Oct-15,153.03,152.78,155.12,151.63,5.47M,2.30%
9-Oct-15,149.59,149.25,150.75,148,3.08M,-0.21%
8-Oct-15,149.9,147.68,150.99,145.03,6.64M,1.25%
7-Oct-15,148.05,142.65,148.31,140.24,8.00M,4.84%
6-Oct-15,141.22,142.12,143.37,138.06,4.82M,-1.79%
5-Oct-15,143.8,144,144.91,142.22,4.37M,0.93%
2-Oct-15,142.47,138.26,142.54,135.64,4.80M,1.60%
1-Oct-15,140.23,138.55,140.64,136.6,4.68M,1.38%
30-Sep-15,138.32,136.66,139.25,135.86,6.21M,3.36%
29-Sep-15,133.82,132,138,131.43,6.25M,1.19%
28-Sep-15,132.24,137.99,138.19,130.09,7.51M,-4.54%
25-Sep-15,138.53,146.06,146.75,136.76,5.24M,-3.47%
24-Sep-15,143.51,144.72,145.63,141.36,3.52M,-1.52%
23-Sep-15,145.72,146.08,147.04,144.03,2.79M,-0.14%
22-Sep-15,145.93,145,146.78,142.82,4.52M,-0.79%
21-Sep-15,147.09,151.97,152.8,146.32,4.70M,-2.32%
18-Sep-15,150.59,151.12,153.37,149.03,6.49M,-2.16%
17-Sep-15,153.91,151.7,156.34,151,3.52M,1.81%
16-Sep-15,151.18,151.97,152.88,148.47,4.00M,-0.63%
15-Sep-15,152.14,152.02,152.79,150.24,2.56M,0.75%
14-Sep-15,151,153.89,153.89,150.05,2.90M,-1.44%
11-Sep-15,153.21,152.05,153.44,150.93,2.42M,0.05%
10-Sep-15,153.14,150.84,154.32,150.56,3.48M,1.36%
9-Sep-15,151.08,156.19,156.76,150.62,2.99M,-2.25%
8-Sep-15,154.56,151.6,154.66,151,4.51M,5.13%
4-Sep-15,147.02,147.49,148.96,145.75,3.36M,-1.48%
3-Sep-15,149.23,152.68,154.12,148.93,2.87M,-2.01%
2-Sep-15,152.29,149.07,152.35,147.25,4.34M,3.28%
1-Sep-15,147.46,149.23,150.99,146.95,5.52M,-2.85%
31-Aug-15,151.78,155.33,156.35,151.3,4.35M,-2.64%
28-Aug-15,155.89,156.38,158,153.71,4.65M,0.11%
27-Aug-15,155.72,154.88,157.1,151.36,4.91M,1.13%
26-Aug-15,153.98,151.23,154.11,147.12,5.25M,6.05%
25-Aug-15,145.19,152.5,153.88,144.88,6.70M,-1.66%
24-Aug-15,147.64,145.33,154.42,140,8.70M,-4.87%
21-Aug-15,155.19,158.97,163.92,155.19,6.21M,-3.70%
20-Aug-15,161.15,164.33,165.5,161.03,3.49M,-3.25%
19-Aug-15,166.57,166.82,167.72,164.45,3.14M,-0.69%
18-Aug-15,167.72,170.01,170.24,167.1,2.27M,-1.22%
17-Aug-15,169.79,167.05,169.89,166,1.99M,1.23%
14-Aug-15,167.72,168.09,169.63,166.66,2.70M,-0.51%
13-Aug-15,168.58,170.5,170.99,168.03,1.90M,-1.20%
12-Aug-15,170.62,167.69,171.19,164.62,4.49M,1.22%
11-Aug-15,168.56,169.67,169.73,166.89,2.92M,-1.20%
10-Aug-15,170.6,172.9,174.69,170.45,2.73M,-0.99%
7-Aug-15,172.31,169.67,172.47,166.4,4.16M,1.56%
6-Aug-15,169.66,176.94,176.96,168.25,3.78M,-3.84%
5-Aug-15,176.44,175.53,177.52,175.38,2.15M,0.94%
4-Aug-15,174.8,175.79,176.22,173.62,2.47M,-0.45%
3-Aug-15,175.59,176.8,177.05,174.02,2.92M,-0.57%
31-Jul-15,176.59,177.5,181.81,176,7.29M,2.85%
30-Jul-15,171.69,170.09,172.48,168.21,4.04M,0.13%
29-Jul-15,171.47,172.92,173.68,169.12,5.11M,-0.74%
28-Jul-15,172.74,166.12,174.8,166.12,8.55M,4.35%
27-Jul-15,165.54,159.37,165.94,159.16,5.76M,4.38%
24-Jul-15,158.59,162.11,163.73,157.21,4.41M,-3.36%
23-Jul-15,164.1,165,165.12,162.79,1.72M,-0.09%
22-Jul-15,164.25,161.47,164.68,161.47,2.11M,0.34%
21-Jul-15,163.7,164.72,165.32,162.37,2.69M,-0.39%
20-Jul-15,164.34,163.56,165.4,162.89,2.69M,0.66%
17-Jul-15,163.27,163.05,163.5,160.6,3.25M,0.14%
16-Jul-15,163.04,161.73,163.75,161.07,2.49M,1.61%
15-Jul-15,160.45,160.46,162.55,159.58,2.62M,0.71%
14-Jul-15,159.32,156.34,160.31,155.76,3.62M,2.29%
13-Jul-15,155.76,155.28,156.56,154.92,1.80M,1.08%
10-Jul-15,154.1,153.99,154.53,152.49,3.98M,1.84%
9-Jul-15,151.31,152.44,153.9,151.04,4.15M,-0.66%
8-Jul-15,152.31,154.11,154.85,151.93,2.39M,-1.98%
7-Jul-15,155.39,155.25,155.7,152.18,2.25M,0.58%
6-Jul-15,154.5,152.14,156.07,151.89,2.77M,0.81%
2-Jul-15,153.26,155.15,155.57,153.01,2.12M,-1.12%
1-Jul-15,154.99,154.94,155.75,153.43,2.30M,0.96%
30-Jun-15,153.52,153.24,154.22,151.51,3.89M,1.27%
29-Jun-15,151.6,156.63,157.96,151.43,4.78M,-4.06%
26-Jun-15,158.02,159.41,159.79,157.23,3.54M,-0.47%
25-Jun-15,158.76,160.82,160.84,158.02,2.41M,-0.71%
24-Jun-15,159.89,161.53,161.84,159.28,2.52M,-1.11%
23-Jun-15,161.69,163.45,163.5,161.04,2.45M,-0.33%
22-Jun-15,162.22,161.62,163.26,161.45,1.93M,0.93%
19-Jun-15,160.72,160.13,162.23,159.77,5.18M,0.37%
18-Jun-15,160.12,156.33,160.77,156.31,3.45M,2.87%
17-Jun-15,155.65,156.86,156.98,154.88,3.01M,-0.37%
16-Jun-15,156.23,155.81,156.81,155.09,1.72M,0.08%
15-Jun-15,156.1,154.75,156.37,153.57,2.59M,-0.01%
12-Jun-15,156.12,157.23,157.74,155.01,2.40M,-1.16%
11-Jun-15,157.96,157.91,158.97,156.44,3.63M,1.55%
10-Jun-15,155.55,153.4,155.88,150.85,5.97M,0.48%
9-Jun-15,154.8,156.55,157.11,153.91,2.77M,-1.07%
8-Jun-15,156.47,157.3,158.47,155.63,2.08M,-0.50%
5-Jun-15,157.25,158.5,159.4,156.03,3.43M,-0.53%
4-Jun-15,158.09,156.6,158.47,156.3,3.92M,0.61%
3-Jun-15,157.13,157.45,157.86,156.4,2.16M,0.44%
2-Jun-15,156.44,156.88,157.97,154.8,2.50M,-0.38%
1-Jun-15,157.03,157.59,158,155.5,2.85M,0.49%
29-May-15,156.26,156.79,157.97,155.58,4.41M,-0.69%
28-May-15,157.35,159.6,159.6,155.83,4.21M,-1.93%
27-May-15,160.44,159.96,161,159.28,3.34M,0.90%
26-May-15,159.01,160.65,162.46,158,4.08M,-2.79%
22-May-15,163.58,163.58,164.57,163.03,1.64M,-0.16%
21-May-15,163.84,163.52,164.73,162.82,2.16M,-0.09%
20-May-15,163.98,163.97,165.59,162.4,2.03M,0.26%
19-May-15,163.56,163.86,164.12,162.46,1.75M,0.07%
18-May-15,163.44,161.7,163.9,161.27,2.15M,0.67%
15-May-15,162.36,163.27,163.63,161.68,2.39M,0.23%
14-May-15,161.98,159.9,162.16,158.19,2.72M,2.27%
13-May-15,158.39,159.74,161.24,157.65,2.73M,0.09%
12-May-15,158.24,159,159.26,155.71,4.36M,-1.74%
11-May-15,161.05,162.31,162.99,161,2.72M,-0.79%
8-May-15,162.34,159.78,162.86,159.13,4.66M,2.81%
7-May-15,157.9,159.24,159.82,157.2,4.37M,-0.66%
6-May-15,158.95,160,160.39,156.65,3.76M,-0.31%
5-May-15,159.44,161.31,162.19,159.24,3.09M,-1.65%
4-May-15,162.11,161.5,163.96,161.45,3.50M,1.09%
1-May-15,160.36,159.5,161.69,158.65,3.26M,1.55%
30-Apr-15,157.91,159.84,161.71,156.47,4.44M,-1.91%
29-Apr-15,160.98,161.28,163.46,159.53,3.28M,-0.93%
28-Apr-15,162.49,162.15,165.3,160.63,4.26M,0.07%
27-Apr-15,162.38,168.49,168.72,161.55,4.39M,-3.29%
24-Apr-15,167.91,168.15,169.25,166.06,2.55M,-0.74%
23-Apr-15,169.17,167.94,169.55,166.58,3.67M,0.04%
22-Apr-15,169.1,173.04,173.6,167.01,5.35M,0.38%
21-Apr-15,168.46,167.09,168.88,167.07,3.79M,1.50%
20-Apr-15,165.97,164.64,166.05,163.06,2.76M,1.46%
17-Apr-15,163.58,165,165.5,161.72,4.25M,-1.97%
16-Apr-15,166.87,166.4,167.64,165.07,3.09M,0.85%
15-Apr-15,165.47,163.12,165.91,162.86,3.66M,1.78%
14-Apr-15,162.57,162.5,163.47,160.56,2.10M,0.05%
13-Apr-15,162.49,162.82,164.72,162.34,1.77M,-0.54%
10-Apr-15,163.38,161.59,163.69,160.31,2.41M,1.17%
9-Apr-15,161.49,161.23,161.8,159.07,2.86M,0.72%
8-Apr-15,160.33,157.68,160.99,157.66,3.03M,1.94%
7-Apr-15,157.28,155.62,159.47,155.28,2.94M,1.29%
6-Apr-15,155.28,154.8,157.27,154.6,3.19M,-0.38%
2-Apr-15,155.88,157.12,158.18,155.03,3.02M,-0.78%
1-Apr-15,157.1,159.37,159.39,154.64,5.13M,-1.72%
31-Mar-15,159.85,163.32,164.09,159.72,3.11M,-2.71%
30-Mar-15,164.31,164.51,165.82,163.05,2.39M,1.06%
27-Mar-15,162.59,161.26,163.44,161,2.44M,1.27%
26-Mar-15,160.55,158.84,162.69,157.36,3.15M,-0.04%
25-Mar-15,160.62,166,166.79,160.57,4.01M,-3.25%
24-Mar-15,166.01,166.06,168.25,165.4,2.56M,-0.32%
23-Mar-15,166.54,168.9,169.21,165.7,3.88M,-2.09%
20-Mar-15,170.1,170.4,172.36,168.51,9.04M,0.59%
19-Mar-15,169.11,167.67,169.22,166.97,3.76M,1.54%
18-Mar-15,166.54,162.97,167.6,161.83,3.69M,2.13%
17-Mar-15,163.07,162.25,163.76,161.74,2.62M,0.02%
16-Mar-15,163.03,157.73,163.2,156.74,5.20M,5.69%
13-Mar-15,154.26,153.28,154.75,152.58,2.74M,0.01%
12-Mar-15,154.25,154.26,154.77,152.95,1.89M,1.02%
11-Mar-15,152.7,154.12,154.27,152.42,2.49M,-0.57%
10-Mar-15,153.58,152.87,155.62,152.29,3.51M,-0.92%
9-Mar-15,155.01,154.85,155.74,152.78,2.13M,0.08%
6-Mar-15,154.88,158.5,159.92,154,4.09M,-2.96%
5-Mar-15,159.6,160,161.48,158.86,2.47M,0.26%
4-Mar-15,159.19,158.05,159.74,156.81,3.10M,0.40%
3-Mar-15,158.56,159.4,159.4,157.51,2.33M,-0.67%
2-Mar-15,159.63,159.29,159.9,157.62,3.48M,1.21%
27-Feb-15,157.72,159.1,159.24,157.2,2.47M,-0.79%
26-Feb-15,158.97,158.48,159.4,156,3.38M,0.56%
25-Feb-15,158.08,157.76,158.78,155.74,3.26M,0.45%
24-Feb-15,157.37,159,159.11,156.25,2.06M,-0.66%
23-Feb-15,158.42,158.07,159.2,157.81,3.09M,0.48%
20-Feb-15,157.66,156.43,157.75,155.06,4.41M,1.03%
19-Feb-15,156.05,155.97,156.42,155.04,3.91M,0.17%
18-Feb-15,155.78,154.22,156.23,153.64,3.30M,1.00%
17-Feb-15,154.24,153.52,154.85,153,3.90M,0.50%
13-Feb-15,153.48,153.62,153.81,150.21,3.59M,0.20%
12-Feb-15,153.18,154.83,154.83,151.12,2.94M,0.05%
11-Feb-15,153.11,153.3,155.24,152.26,4.00M,0.35%
10-Feb-15,152.57,150.5,152.63,149.05,4.11M,1.71%
9-Feb-15,150.01,150,151.83,149.2,3.24M,-0.92%
6-Feb-15,151.4,154.32,154.76,150.6,3.24M,-1.28%
5-Feb-15,153.36,152.29,153.9,151.02,3.56M,1.26%
4-Feb-15,151.45,150.13,153.15,147.42,5.83M,-0.51%
3-Feb-15,152.23,153.76,153.76,148.87,4.30M,-0.18%
2-Feb-15,152.5,153.41,153.97,149.4,3.83M,0.16%
30-Jan-15,152.26,155.55,156.87,151.53,5.32M,-2.63%
29-Jan-15,156.37,154.89,156.84,153.76,3.44M,1.12%
28-Jan-15,154.64,158.32,160.91,154.51,4.93M,-2.67%
27-Jan-15,158.89,158.53,160.74,158.28,2.88M,-0.53%
26-Jan-15,159.73,159.62,161.48,157.67,3.15M,-0.05%
23-Jan-15,159.81,159.8,160.01,158.25,2.25M,0.15%
22-Jan-15,159.57,158.17,159.78,154.11,3.78M,1.39%
21-Jan-15,157.38,155.38,158.27,155.38,2.80M,-0.14%
20-Jan-15,157.6,159.21,159.73,154.65,3.66M,-0.52%
